Name,Category,Stock,Color,Size,Period,Notes
Monk Robes,Misc,2,brown,M-L,,none
Dress with Flared Skirt,Dresses and Skirts,1,Black top and fruit patterned skirt,M,,Hole on front and back of top
Pirate Jacket,Jackets and Coats,1,brown,L,,none
Long Tunic Dress,Dresses and Skirts,1,purple,M-L,,Stains on collar and front
Boxing Gown,Tops and Shirts,1,Red and white,L,,none
Convict Outfit Set,Misc,1,Black and white stripes,M,,none
Nun Outfit,Misc,2,Black with white collar,M-L,,none
Mcdonalds Employee Polo Shirt,Tops and Shirts,1,green,XL,,none
Apron,Tops and Shirts,1,White with floral detail,S,,none
Apron,Tops and Shirts,1,Blue and white stripes,S,,none
Maid Apron,Tops and Shirts,1,Black with white lace trim,S,,none
Work Apron,Tops and Shirts,2,navy,S-M,,none
Apron,Tops and Shirts,1,Black and white stripes,S-M,,none
Police Jacket,Jackets and Coats,3,black,L,,none
Striped Trousers,Trousers and Shorts,1,Black and red,M-L,,none
Blouse,Tops and Shirts,1,Green and white polkadot,S,,none
Sleeveless Blouse ,Tops and Shirts,1,Blue with floral,S,,none
Nurses Top,Tops and Shirts,1,lilac,8,,Stains around buttons and on shoulders
Nurses Top,Tops and Shirts,1,lilac,12,,Significant stain to side
Halter Neck Lace Dress,Dresses and Skirts,1,white,M,20s,Stains to front and collar
Sleeveless Cardigan,Tops and Shirts,1,black,8,,none
Tunic Dress,Dresses and Skirts,1,striped,M,,none
Mesh Vest,Vest,1,red,M,,none
Sgt Pepper Jacket,Jackets and Coats,1,Green,M,60s,"Ripped seams, holes and fraying"
Sgt Pepper Jacket,Jackets and Coats,1,blue,M,60s,Ripped seams
Sgt Pepper Jacket,Jackets and Coats,1,pink,M,60s,Fraying seams
Sgt Pepper Jacket,Jackets and Coats,1,red,M ,60s,none
Blouse,Tops and Shirts,1,pink,16,,Ripped seam on left shoulder and stains
Coat,Jackets and Coats,1,white,10,,Stains on front
Slip Dress,Dresses and Skirts,1,black,S,,none
Dress,Dresses and Skirts,1,Dark blue,14,,none
